Batch Size,Learning Rate,Test PPL
128,0.01,675.6914912089052
32,0.01,419.7458074458808
64,0.01,560.8463326967893
128,0.05,385.7533072771647
32,0.05,202.9110327937857
64,0.05,276.9094803791736
128,0.1,279.9063095354084
32,0.1,153.3788573497074
64,0.1,201.8045825769892
128,0.2,205.6735955450397
32,0.2,127.86233767147098
64,0.2,159.5907887697844
128,0.5,136.85237241613507
32,0.5,121.61859206906102
64,0.5,127.45256101762352
128,1.5,123.57010821438868
32,1.5,117.89060569263046
64,1.5,123.23589710022657
128,1.7,124.31100406589847
32,1.7,116.8552697885506
64,1.7,121.34777890721016
128,1.0,123.1253852326968
32,1.0,118.4352132201622
64,1.0,125.70057079568204
128,2.5,122.95807843408518
32,2.5,115.22120987437658
64,2.5,120.27247733447436
128,2.7,123.11571374176307
32,2.7,115.79719961798892
64,2.7,121.4030123043074
128,2.0,123.36821899013036
32,2.0,117.23916303738056
64,2.0,122.35734549587056
128,3.0,122.23074771871303
32,3.0,114.79843351473102
64,3.0,121.67022601220296
